Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
63,Udd Gaye - Bacardi House Party Sessions,Ritviz,282145,https://open.spotify.com/track/6wZJsut8fjiWiMPaccRAOX,2020,1,31,in,0.595,0.818,11,-6.189,0,0.0479,0.000712,0.0386,0.142,0.48,144.956,180414,4
64,"Bezubaan Kab Se (From ""Street Dancer 3D"")",Siddharth Basrur,279280,https://open.spotify.com/track/1WzOH0E1W1z5jcLluumQGE,2020,1,31,in,0.747,0.865,7,-5.991,1,0.0451,0.00279,0.00058,0.0764,0.209,124.985,271279,4
65,Ik Tera,Maninder Buttar,277606,https://open.spotify.com/track/57DhVYA7E1CyrE4OKuyLb7,2020,1,31,in,0.826,0.712,11,-5.219,0,0.0727,0.095,0,0.105,0.49,93.029,160768,4
66,You should be sad,Halsey,277509,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,2020,1,31,in,0.591,0.585,2,-6.35,1,0.0277,0.143,0,0.109,0.324,110.94,205473,4
67,Proper Patola,Badshah,271846,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT,2020,1,31,in,0.77,0.824,1,-6.491,0,0.0851,0.485,0,0.318,0.49,172.006,178605,4
68,Kalank (Title Track),Arijit Singh,270413,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5,2020,1,31,in,0.57,0.55,10,-8.343,1,0.035,0.524,3.73e-05,0.0921,0.435,117.999,311186,4
69,Tujhe Kitna Chahein Aur (Film Version),Jubin Nautiyal,270235,https://open.spotify.com/track/0mHU8dcIvGrGDazLMmQpSg,2020,1,31,in,0.36,0.25,11,-9.506,1,0.0341,0.603,0,0.0915,0.293,145.045,276245,4
70,Liggi,Ritviz,270183,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X,2020,1,31,in,0.786,0.667,5,-8.272,1,0.054,0.0112,0.053,0.074,0.688,102.046,181176,4
71,"Don't Be Shy Again (From ""Bala"")",Sachin-Jigar,263317,https://open.spotify.com/track/2TbCdbFzs2xO2nzasn0Qvw,2020,1,31,in,0.798,0.905,5,-3.731,0,0.0581,0.0979,4.22e-06,0.307,0.905,105.005,164160,4
72,Believer,Imagine Dragons,262743,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2020,1,31,in,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,204347,4
