Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
74,everything i wanted,Billie Eilish,374473,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2020,5,29,au,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
75,"10,000 Hours (with Justin Bieber)",Dan + Shay,371900,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2020,5,29,au,0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,167693,4
76,Lucid Dreams,Juice WRLD,371400,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2020,5,29,au,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836,4
77,Post Malone (feat. RANI),Sam Feldt,366073,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL,2020,5,29,au,0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,174444,4
78,Purple Hat,Sofi Tukker,365205,https://open.spotify.com/track/6WiGRFQfx2qw49MA7OeDYK,2020,5,29,au,0.777,0.744,9,-7.42,1,0.204,0.331,0.0073,0.088,0.654,94.019,178369,4
79,Selfish,Madison Beer,362801,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH,2020,5,29,au,0.378,0.461,9,-6.202,1,0.0275,0.627,0,0.386,0.232,75.363,223270,4
80,Play Date,Melanie Martinez,362356,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,2020,5,29,au,0.68,0.729,5,-5.077,1,0.0475,0.612,0,0.224,0.446,123.97,179867,4
81,Ur So F**kInG cOoL,Tones And I,359619,https://open.spotify.com/track/6KiEsqGg0HBOSMflVH7Onx,2020,5,29,au,0.816,0.677,11,-4.067,0,0.19,0.357,0,0.165,0.533,78.967,172747,4
82,Falling,Harry Styles,349777,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,2020,5,29,au,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133,4
83,Savage,Megan Thee Stallion,347303,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si,2020,5,29,au,0.843,0.741,11,-5.609,1,0.334,0.0252,0,0.096,0.68,168.983,155497,4
84,Paper Route,Hooligan Hefs,347174,https://open.spotify.com/track/2OP902ZzEbVEBoABSMz9xo,2020,5,29,au,0.949,0.54,6,-7.069,1,0.242,0.29,0,0.0936,0.538,131.965,200035,4
85,Say You Won't Let Go,James Arthur,345349,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2020,5,29,au,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,211467,4
86,Walk Em Down (feat. Roddy Ricch),NLE Choppa,342507,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg,2020,5,29,au,0.867,0.744,2,-5.171,1,0.227,0.268,0,0.0713,0.645,84.005,173288,4
87,Mr. Brightside,The Killers,341912,https://open.spotify.com/track/7d8GetOsjbxYnlo6Y9e5Kw,2020,5,29,au,0.352,0.928,1,-3.71,1,0.0758,0.00113,0,0.0987,0.239,148.026,222107,4
88,I’m Ready (with Demi Lovato),Sam Smith,338474,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY,2020,5,29,au,0.501,0.674,5,-6.363,1,0.0408,0.00346,3.56e-05,0.282,0.152,155.051,200838,4
89,Youngblood,5 Seconds of Summer,337477,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2020,5,29,au,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203418,4
90,Glitter,BENEE,331274,https://open.spotify.com/track/23TPP1eeElFfvYVznskwCY,2020,5,29,au,0.801,0.589,7,-5.157,1,0.0485,0.0863,0,0.162,0.58,116.934,180147,4
91,The Less I Know The Better,Tame Impala,329909,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ,2020,5,29,au,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320,4
92,Skechers,DripReport,328823,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu,2020,5,29,au,0.903,0.327,1,-9.727,1,0.0877,0.26,0.011,0.108,0.274,100.008,106000,4
93,I Don't Care (with Justin Bieber),Ed Sheeran,324885,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2020,5,29,au,0.798,0.676,6,-5.041,1,0.0442,0.0902,0,0.0894,0.843,101.956,219947,4
94,This Is America,Childish Gambino,322318,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9,2020,5,29,au,0.854,0.463,5,-6.159,1,0.137,0.117,0,0.354,0.549,120.024,225773,4
