Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
96,Flor Que Se Cheira - Ao Vivo,Guilherme & Benuto,961196,https://open.spotify.com/track/49pu85144Xir6PgWjeyJhG,2019,11,29,br,0.681,0.76,2,-5.252,0,0.14,0.638,0,0.556,0.799,117.828,161375,4
97,Bebe e Vem Me Procurar,Raí Saia Rodada,946722,https://open.spotify.com/track/3tu0GkIZwwkmILoD4HemBq,2019,11,29,br,0.571,0.941,5,-6.712,0,0.0334,0.415,6.51e-06,0.299,0.969,169.95,154291,4
98,Meu talismã,IZA,941054,https://open.spotify.com/track/5aayWOEE7u7bxZ3r7dwIrX,2019,11,29,br,0.665,0.805,6,-1.938,1,0.0879,0.186,0,0.289,0.667,85.1,165176,4
99,Tchau Brigado - Ao Vivo,Humberto & Ronaldo,937017,https://open.spotify.com/track/0WqNOaLQlWh1q11NSHunmu,2019,11,29,br,0.569,0.598,6,-4.337,0,0.0329,0.748,0,0.848,0.858,134.382,150485,4
100,Malemolência,Dynho Alves,936184,https://open.spotify.com/track/5rwdmpN5eMWIIwK4R96vv1,2019,11,29,br,0.829,0.64,6,-5.537,0,0.231,0.553,0.000214,0.131,0.848,160.025,135053,4
1,Combatchy (feat. MC Rebecca),Anitta,4922072,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw,2019,12,6,br,0.826,0.73,1,-3.032,1,0.0809,0.383,0.000374,0.0197,0.605,150.134,157600,4
2,Surtada - Remix Brega Funk,Dadá Boladão,4204915,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r,2019,12,6,br,0.832,0.55,5,-7.026,0,0.0587,0.249,8.17e-06,0.182,0.881,154.064,152784,4
3,SENTADÃO,PEDRO SAMPAIO,3610848,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A,2019,12,6,br,0.68,0.869,6,-1.94,1,0.0589,0.178,0,0.223,0.924,173.997,143448,4
4,Supera - Ao Vivo,Marília Mendonça,3520339,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz,2019,12,6,br,0.665,0.743,4,-4.434,1,0.0567,0.0604,0,0.959,0.658,131.573,147748,4
5,Liberdade Provisória,Henrique & Juliano,3456221,https://open.spotify.com/track/1vG3YuKRYqPwTmNmYgqkpg,2019,12,6,br,0.668,0.684,1,-5.937,1,0.0527,0.627,0,0.923,0.7,108.138,187986,4
6,Cheirosa - Ao Vivo,Jorge & Mateus,3378951,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da,2019,12,6,br,0.528,0.87,11,-3.123,1,0.0851,0.24,0,0.333,0.714,152.37,181930,4
7,Gaiola É o Troco,MC Du Black,3254402,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH,2019,12,6,br,0.722,0.84,10,-3.24,0,0.0785,0.42,0,0.112,0.851,150.108,187246,4
8,Some que ele vem atrás,Anitta,3150922,https://open.spotify.com/track/2qD7VoDYcrAPY0cVEfpsR5,2019,12,6,br,0.648,0.795,0,-5.536,0,0.17,0.0748,0,0.38,0.598,180.043,194771,4
9,Verdinha,Ludmilla,3089766,https://open.spotify.com/track/2RMOwSvOGQyy985Vx4VSGQ,2019,12,6,br,0.845,0.954,8,-3.656,0,0.124,0.345,5.21e-05,0.115,0.63,137.995,160396,4
10,Hit Contagiante,Felipe Original,3060064,https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi,2019,12,6,br,0.819,0.684,6,-7.169,0,0.119,0.132,0,0.0942,0.959,170.187,137125,4
11,Chama Ela (feat. Pedro Sampaio),Lexa,2973100,https://open.spotify.com/track/14kRWkCWBYfQqILflEcpSJ,2019,12,6,br,0.888,0.841,6,-1.933,1,0.147,0.46,9.12e-05,0.0568,0.964,149.994,120200,4
12,Lençol Dobrado,João Gustavo e Murilo,2961537,https://open.spotify.com/track/72xB2J9ZeBl0Rzxq2XmzdY,2019,12,6,br,0.707,0.664,2,-5.042,1,0.0382,0.361,0,0.331,0.674,124.991,179165,4
13,Tijolão - Ao Vivo,Jorge & Mateus,2692244,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7,2019,12,6,br,0.637,0.877,4,-3.68,0,0.198,0.469,0,0.343,0.691,118.889,175219,4
14,Ferida Curada,Zé Neto & Cristiano,2548567,https://open.spotify.com/track/1U3tv41tFRgOfbytpuYQrR,2019,12,6,br,0.49,0.845,2,-3.359,1,0.0973,0.49,0,0.213,0.548,146.105,159164,4
15,Quando a vontade bater (Participação especial de PK Delas),Pk,2506246,https://open.spotify.com/track/26WpOBpHiIMoBuMEIwtOCH,2019,12,6,br,0.621,0.7,8,-5.502,1,0.247,0.539,0,0.152,0.704,149.902,166400,4
16,Quarta Cadeira - Ao Vivo,Matheus & Kauan,2437737,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn,2019,12,6,br,0.565,0.82,5,-5.031,0,0.243,0.589,0,0.621,0.604,76.471,224002,4
17,Contatinho - Ao Vivo,Leo Santana,2424414,https://open.spotify.com/track/4RC2nzqaQygxoVQOVv3XlT,2019,12,6,br,0.787,0.934,10,-5.136,0,0.0773,0.223,1.87e-05,0.951,0.813,152.018,173230,4
18,3 Batidas - Ao Vivo,Guilherme & Benuto,2403138,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k,2019,12,6,br,0.552,0.709,8,-5.435,1,0.129,0.611,0,0.763,0.527,117.581,157186,4
19,menina solta,Giulia Be,2402637,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1,2019,12,6,br,0.632,0.559,11,-6.74,0,0.0794,0.331,0,0.16,0.674,91.81,150026,4
20,To Voando Alto,Mc Poze do Rodo,2394712,https://open.spotify.com/track/7HLU2aJTAQfSIgJ2dMASsP,2019,12,6,br,0.887,0.683,6,-3.167,1,0.173,0.311,1.95e-06,0.0833,0.797,145.266,137430,4
21,Invocada (Participação especial de Léo Santana) - Ao vivo,Ludmilla,2359421,https://open.spotify.com/track/4k20Ie47EcWtS4wMBn8w8S,2019,12,6,br,0.776,0.864,1,-4.281,1,0.0517,0.478,0,0.932,0.701,134.992,157494,4
22,Sentou e Gostou,MC JottaPê,2356822,https://open.spotify.com/track/6V43u5SCjkfMpxMAXRPifr,2019,12,6,br,0.702,0.672,7,-3.308,1,0.397,0.261,0.000988,0.0916,0.722,131.453,163253,4
23,choque térmico - ao vivo,Luan Santana,2334317,https://open.spotify.com/track/159ntSAEWJ9zIMOSXmQ530,2019,12,6,br,0.737,0.758,2,-5.508,1,0.0402,0.342,0,0.834,0.734,126.978,180001,4
24,Kenny G,Matuê,2243245,https://open.spotify.com/track/3MkdA6vwF0ifRl86yzTlJW,2019,12,6,br,0.417,0.767,9,-3.31,1,0.193,0.0778,0,0.113,0.152,72.573,189600,3
25,Bebi Liguei - Ao Vivo,Marília Mendonça,2187904,https://open.spotify.com/track/3RbXsVQr4jeTxvT35Hssq3,2019,12,6,br,0.603,0.804,0,-4.253,1,0.198,0.362,0,0.743,0.682,153.883,159780,4
