Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
9,Mood (feat. iann dior),24kGoldn,22753489,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020,8,21,global,0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989,140526,4
10,Roses - Imanbek Remix,SAINt JHN,19426641,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5,2020,8,21,global,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,176219,4
11,Breaking Me,Topic,18317764,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,2020,8,21,global,0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,166794,4
12,Mood Swings (feat. Lil Tjay),Pop Smoke,17783846,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,2020,8,21,global,0.48,0.602,10,-6.335,0,0.368,0.487,0,0.0848,0.269,179.798,213333,4
13,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,16962639,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,2020,8,21,global,0.571,0.693,6,-8.234,0,0.0545,0.00536,0,0.173,0.393,168.169,232253,4
14,Head & Heart (feat. MNEK),Joel Corry,16034944,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,2020,8,21,global,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028,4
15,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,16022186,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,2020,8,21,global,0.823,0.586,6,-6.606,0,0.2,0.114,0,0.193,0.347,125.971,190476,4
16,Come & Go (with Marshmello),Juice WRLD,15833578,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,2020,8,21,global,0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,205485,4
17,"Ay, DiOs Mío!",KAROL G,15551985,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776,2020,8,21,global,0.718,0.712,11,-4.366,1,0.174,0.512,0.00121,0.104,0.531,180.034,189653,4
18,La Jeepeta - Remix,Nio Garcia,15440415,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2,2020,8,21,global,0.814,0.714,4,-4.65,0,0.207,0.297,4.89e-06,0.091,0.789,176.013,345241,4
19,Caramelo,Ozuna,15340103,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG,2020,8,21,global,0.728,0.806,6,-3.766,1,0.0623,0.0531,0.000301,0.153,0.698,168.084,217547,4
20,Smile (with The Weeknd),Juice WRLD,15331808,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF,2020,8,21,global,0.694,0.685,6,-6.535,0,0.133,0.224,0,0.124,0.306,158.831,196180,4
21,Heather,Conan Gray,15248137,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,2020,8,21,global,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,198040,3
22,Dance Monkey,Tones And I,14883086,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020,8,21,global,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4
23,La Curiosidad,Jay Wheeler,14774741,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz,2020,8,21,global,0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90.013,219048,4
24,Wishing Well,Juice WRLD,14015043,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv,2020,8,21,global,0.65,0.613,9,-6.13,0,0.128,0.00336,0,0.267,0.0804,149.972,194621,4
25,death bed (coffee for your head),Powfu,13995748,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,2020,8,21,global,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,173333,4
26,Tattoo - Remix with Camilo,Rauw Alejandro,13818001,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S,2020,8,21,global,0.848,0.637,9,-5.132,1,0.156,0.0413,0,0.0521,0.698,96.988,222680,4
27,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,13743222,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp,2020,8,21,global,0.76,0.658,7,-5.275,1,0.275,0.162,0,0.195,0.565,100.202,157944,4
28,Midnight Sky,Miley Cyrus,13436491,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB,2020,8,21,global,0.705,0.814,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0,223279,4
29,Relación,Sech,13343568,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ,2020,8,21,global,0.805,0.562,7,-3.117,0,0.105,0.125,4.96e-06,0.148,0.767,172.094,184255,4
30,Someone You Loved,Lewis Capaldi,13090909,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020,8,21,global,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
31,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,13071778,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC,2020,8,21,global,0.904,0.723,11,-5.224,0,0.26,0.0631,0,0.185,0.835,145.013,227478,4
32,Rain On Me (with Ariana Grande),Lady Gaga,12653086,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,2020,8,21,global,0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,182200,4
33,ily (i love you baby) (feat. Emilee),Surf Mesa,12537332,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,2020,8,21,global,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,176547,4
34,MAMACITA,Black Eyed Peas,12360614,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3,2020,8,21,global,0.88,0.626,2,-7.062,1,0.0473,0.19,0.000755,0.094,0.441,105.01,251429,4
