Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
53,Pop Out (feat. Lil Tjay),Polo G,2721960,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1,2019,11,8,us,0.772,0.639,1,-7.119,1,0.467,0.15,0,0.0698,0.261,168.112,166560,4
54,Better Together,Luke Combs,2717669,https://open.spotify.com/track/1tSGw3h54aHModEHHL1HGK,2019,11,8,us,0.552,0.225,0,-11.501,1,0.0477,0.826,0,0.111,0.67,138.002,219573,4
55,Start Wit Me (feat. Gunna),Roddy Ricch,2694977,https://open.spotify.com/track/5ravc2aiNoYmu9m37diYXW,2019,11,8,us,0.886,0.479,4,-8.054,0,0.334,0.077,0,0.135,0.408,130.029,158692,4
56,In My Room,Frank Ocean,2692832,https://open.spotify.com/track/4S4Mfvv03M1cHgIOJcbUCL,2019,11,8,us,0.861,0.647,7,-7.425,1,0.0675,0.594,0.661,0.114,0.67,158.037,133680,4
57,Saint-Tropez,Post Malone,2659824,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq,2019,11,8,us,0.617,0.684,0,-3.618,1,0.0439,0.0545,0,0.104,0.295,132.113,150867,4
58,Wow.,Post Malone,2633172,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,2019,11,8,us,0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96,149547,4
59,Hate Me (with Juice WRLD),Ellie Goulding,2630682,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,2019,11,8,us,0.657,0.768,8,-4.628,1,0.0507,0.108,0,0.144,0.759,75.025,186223,4
60,Even Though I'm Leaving,Luke Combs,2586525,https://open.spotify.com/track/5aZQrb2TXWEh9uZR4HEY3r,2019,11,8,us,0.554,0.755,2,-6.04,1,0.0319,0.225,0,0.301,0.624,77.962,225253,4
61,Murder On My Mind,YNW Melly,2516505,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,2019,11,8,us,0.759,0.73,0,-7.985,0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,268434,4
62,Lucid Dreams,Juice WRLD,2508872,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019,11,8,us,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836,4
